Date,Type,Name,Withdraw,Deposit
2023-01-09,cibc chequing,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE AMZN Mktp CA 300732197707,25.74,
2023-01-09,cibc chequing,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DD 300603820070,20.62,
2023-01-09,cibc chequing,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE AMZN Mktp CA 300773795147,19.7,
2023-01-09,cibc chequing,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE AMZN Mktp CA 300774328435,12.31,
2023-01-09,cibc chequing,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE Amazon.ca 300773802477,11.19,
2023-01-09,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 300709128573 SH VENDING80036,3.17,
2023-01-09,cibc chequing,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE SP WHITE-BALMER 300721966804,105.0,
2023-01-09,cibc chequing,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DOORDASH*MCDONA 300802938073,22.22,
2023-01-09,cibc chequing,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE AMZN Mktp CA 300873058643,33.59,
2023-01-09,cibc chequing,Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE Amazon.ca 300930058962 15.64 CAD @ 1.000000,15.64,
2023-01-09,cibc chequing,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE Adidas CA 300902009350,40.88,
2023-01-10,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 000001001198 CANADIAN TIRE #,14.09,
2023-01-10,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 000001001724 WALMART STORE #,5.91,
2023-01-11,cibc chequing,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DD 301119016885,23.9,
2023-01-12,td chequing,OPEN ACCOUNT        ,0.0,
2023-01-12,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 073001001091 7-ELEVEN STORE,9.17,
2023-01-12,cibc chequing,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE GAP.COM 4584 301217804101,53.76,
2023-01-12,tdsavings,OPEN ACCOUNT        ,0.0,
2023-01-12,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 000001001123 COINAMATIC - 24,10.0,
2023-01-12,cibc chequing,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE GAP.COM 4584 301202800185,115.34,
2023-01-12,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 000001001124 COINAMATIC - 24,10.0,
2023-01-13,cibc chequing,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE GAP.COM 4584 301300800874,43.08,
2023-01-13,cibc chequing,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DD 301206927491,21.41,
2023-01-13,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 301319127835 SH VENDING80036,4.67,
2023-01-16,td chequing,TD ATM DEP    002586,,1000.0
2023-01-17,cibc chequing,Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE Amazon.ca 301745731775 15.64 CAD @ 1.000000,15.64,
2023-01-17,cibc chequing,Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE GAP.COM 4584 T23016024765 53.74 CAD @ 1.000000,53.74,
2023-01-17,cibc chequing,Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL GAP.COM 4584 T23016024763 115.34 CAD @ 1.000000,,115.34
2023-01-17,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 000001001330 COINAMATIC - 24,25.0,
2023-01-17,cibc chequing,Point of Sale - Visa Debit INT VISA DEB PURCHASE REVERSAL ADIDAS CA T23016024764 40.88 CAD @ 1.000000,,40.88
2023-01-18,cibc chequing,Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE GAP.COM 4584 T23017048039 61.60 CAD @ 1.000000,61.6,
2023-01-18,cibc credit,"UVIC BOOKSTORE VICTORIA, BC",,16.6
2023-01-19,td chequing,UNIV VIC RES Q9W9Q4 ,3575.84,
2023-01-19,td chequing,NMM TFR 301904149705,,2720.54
2023-01-19,cibc credit,PEARSON NEW ZEALAND 1300473277 75.00 NZD @ .884666,,66.35
2023-01-19,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 000001001707 WALMART STORE #,56.97,
2023-01-23,cibc chequing,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE GAP.COM 4584 302301800364,50.11,
2023-01-23,cibc chequing,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE AMZN Mktp CA 302241518193,61.58,
2023-01-23,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 302115386923 BUTTONS'N BOWS,19.54,
2023-01-23,td chequing,GALA FABRICS        ,47.17,
2023-01-23,td chequing,TD ATM W/D    007789,50.0,
2023-01-24,tdsavings,Transfer to savings,,1.0
2023-01-24,td chequing,Transfer to savings,1.0,
2023-01-26,td chequing,UNI VIC TUIT W2Z2A5 ,5700.93,
2023-01-26,td chequing,NMM TFR 302603795705,,5957.92
2023-01-26,cibc chequing,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DD 302506682453,23.07,
2023-01-27,cibc credit,"UVIC ATHLETICS VICTORIA, BC",,30.45
2023-01-30,td chequing,WALMART STORE #   _F,49.96,
2023-01-30,cibc chequing,Automated Banking Machine ATM DEPOSIT MAYFAIR SC 1D79,,105.0
2023-01-30,cibc credit,"RW & CO. #2204 VICTORIA, BC",,20.11
2023-01-30,cibc credit,"MOORES CLOTHING 0050 VICTORIA, BC",,67.19
2023-01-30,td chequing,BLUEBIRD CABS     _F,40.23,
2023-01-31,tdsavings,Transfer to savings,,1.0
2023-01-31,cibc chequing,Branch Transaction SERVICE CHARGE DISCOUNT,,16.95
2023-01-31,cibc chequing,Branch Transaction SERVICE CHARGE CAPPED MONTHLY FEE$16.95 RECORD-KEEPING N/A,16.95,
2023-01-31,cibc credit,"DSW #590 VICTORIA, BC",,100.79
2023-01-31,cibc credit,"BATH & BODY WORKS (CANADA VICTORIA, BC",,50.4
2023-01-31,td chequing,Transfer to savings,1.0,
2023-02-01,cibc credit,"REAL CDN WHOLESALE #67 VICTORIA, BC",,17.2
2023-02-02,td chequing,UVIC FOOD SERVE   _F,2.93,
2023-02-03,td chequing,Transfer to savings,0.5,
2023-02-03,tdsavings,Transfer to savings,,0.5
2023-02-03,cibc credit,"WAL-MART SUPERCENTER#3109 VICTORIA, BC",,30.88
2023-02-06,td chequing,MENBOW RAMEN BA   _F,23.18,
2023-02-06,cibc credit,"#5120 SPORT CHEK VICTORIA, BC",,100.75
2023-02-06,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 000001001718 WALMART STORE #,48.84,
2023-02-06,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 303622365042 LONDON DRUGS 29,14.69,
2023-02-06,cibc chequing,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DOORDASH DASHPA 303704779226,9.99,
2023-02-06,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 000001001510 COINAMATIC - 24,10.0,
2023-02-06,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 303519230038 LONDON DRUGS 14,19.59,
2023-02-07,td chequing,Transfer to savings,0.5,
2023-02-07,tdsavings,Transfer to savings,,0.5
2023-02-07,cibc credit,"BROWNS THE FLORIST - VICT VICTORIA, BC",,22.4
2023-02-09,cibc credit,"SALARMY CEDAR HILL THRIFT VICTORIA, BC",,20.33
2023-02-13,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 125001001097 REAL CDN WHOLES,13.49,
2023-02-13,td chequing,REAL CDN WHOLES   _F,13.49,
2023-02-13,td chequing,BLUEBIRD CABS     _F,38.35,
2023-02-13,td chequing,LONDON DRUGS 29   _F,4.58,
2023-02-13,cibc chequing,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE GAP.COM 4584 304408802935,78.62,
2023-02-14,td chequing,Transfer to savings,1.5,
2023-02-14,tdsavings,Transfer to savings,,1.5
2023-02-17,td chequing,COINAMATIC - 24     ,15.0,
2023-02-17,td chequing,WALMART STORE #   _F,26.85,
2023-02-21,td chequing,Transfer to savings,1.0,
2023-02-21,td chequing,REAL CDN WHOLES   _M,13.49,
2023-02-21,td chequing,REAL CDN WHOLES   _F,22.47,
2023-02-21,td chequing,WAL-MART #1214    _M,17.74,
2023-02-21,tdsavings,Transfer to savings,,1.0
2023-02-22,cibc credit,"CINEPLEX 1129 QPS VICTORIA, BC",,9.98
2023-02-22,td chequing,Transfer to savings,1.5,
2023-02-22,tdsavings,Transfer to savings,,1.5
2023-02-23,td chequing,Ind. Pay. Ser.   PAY,,212.43
2023-02-24,cibc credit,PRE-AUTHORIZED PAYMENT - THANK YOU,399.97,
2023-02-27,cibc credit,"UVIC RESIDENCE SERVICES E VICTORIA, BC",,50.0
2023-02-27,cibc chequing,Electronic Funds Transfer PREAUTHORIZED DEBIT CIBC CARD PRODUCTS DIVISION,399.97,
2023-02-27,td chequing,REAL CDN WHOLES   _M,14.59,
2023-02-27,td chequing,REAL CDN WHOLES   _M,4.19,
2023-02-27,td chequing,REAL CDN WHOLES   _M,8.39,
2023-02-28,td chequing,SEND E-TFR ***ZUT   ,400.0,
2023-02-28,td chequing,NMM TFR 305912831705,,3963.18
2023-02-28,cibc chequing,Branch Transaction SERVICE CHARGE DISCOUNT,,6.95
2023-02-28,cibc chequing,Branch Transaction SERVICE CHARGE ADD TXN$0.00;MONTHLY$6.95 RECORD-KEEPING N/A,6.95,
2023-02-28,tdsavings,Transfer to savings,,1.5
2023-02-28,td chequing,UNI VIC TUIT Q8K3J3 ,3629.48,
2023-02-28,td chequing,Transfer to savings,1.5,
2023-02-28,td chequing,REAL CDN WHOLES   _M,43.43,
2023-02-28,cibc chequing,Branch Transaction OVERDRAFT INTEREST CHARGE,0.45,
2023-02-28,cibc chequing,Branch Transaction OVER LIMIT FEE,5.0,
2023-03-01,tdsavings,Transfer to savings,,0.5
2023-03-01,cibc chequing,Internet Banking E-TRANSFER 104388496915 KELLY OJUKWU,,400.0
2023-03-01,td chequing,Transfer to savings,0.5,
2023-03-01,td chequing,Spotify P2    5.59_V,5.59,
